idx	sentence	label
0	more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem . 	1
1	while solondz tries and tries hard , storytelling fails to provide much more insight than the inside column of a torn book jacket . 	0
2	i enjoyed the movie in a superficial way , while never sure what its purpose was . 	0
3	sometimes , nothing satisfies like old-fashioned swashbuckling . and in this regard , on guard delivers . 	1
4	two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated . 	1
5	the picture is a primer on what happens when lack of know-how mixes with lack of give-a-damn . 	0
6	a tasty appetizer that leaves you wanting more . 	1
7	steven spielberg brings us another masterpiece	1
8	instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust . 	0
9	the dragons are the real stars of reign of fire and you won't be disappointed . 	1
10	makes one thing abundantly clear . american musical comedy as we know it wouldn't exist without the precedent of yiddish theater , whose jolly , fun-for-fun's-sake communal spirit goes to the essence of broadway . 	1
11	the action here is unusually tame , the characters are too simplistic to maintain interest , and the plot offers few surprises . 	0
12	the latest adam sandler assault and possibly the worst film of the year . 	0
13	[creates] the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama . 	0
14	plays like a bad blend of an overripe episode of tv's dawson's creek and a recycled and dumbed-down version of love story . 	0
15	star wars is back in a major way . 	1
16	though of particular interest to students and enthusiast of international dance and world music , the film is designed to make viewers of all ages , cultural backgrounds and rhythmic ability want to get up and dance . 	1
17	it believes it's revealing some great human truths , when , in reality , it's churning ground that has long passed the point of being fertile . 	0
18	overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone . 	1
19	a mesmerizing cinematic poem from the first frame to the last . 	1
20	was i scared ? only at the prospect of beck's next project . let's see , a haunted house , a haunted ship , what's next . . . ghost blimp ? 	0
21	a bilingual charmer , just like the woman who inspired it	1
22	" "" punch-drunk love "" is a little like a chocolate milk moustache . . . "	1
23	it's hard to believe these jokers are supposed to have pulled off four similar kidnappings before . 	0
24	delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . 	0
25	the experience of watching blobby old-school cgi animation in this superlarge format is just surreal enough to be diverting . 	1
26	they crush each other under cars , throw each other out windows , electrocute and dismember their victims in full consciousness . and we don't avert our eyes for a moment . 	1
27	a quietly moving look back at what it was to be iranian-american in 1979 . 	1
28	made for teens and reviewed as such , this is recommended only for those under 20 years of age . . . and then only as a very mild rental . 	1
29	funny , sexy , devastating and incurably romantic . 	1
30	secret ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving . 	1
31	a feeble tootsie knockoff . 	0
32	an artful , intelligent film that stays within the confines of a well-established genre . 	1
33	either a fascinating study of the relationship between mothers and their children or a disturbing story about sociopaths and their marks . 	1
34	if religious films aren't your bailiwick , stay away . otherwise , this could be a passable date film . 	0
35	i like my christmas movies with more elves and snow and less pimps and ho's . 	0
36	after the first 10 minutes , which is worth seeing , the movie sinks into an abyss of clichés , depression and bad alternative music . 	0
37	goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab . 	0
38	this is more fascinating -- being real -- than anything seen on jerry springer . 	1
39	where janice beard falters in its recycled aspects , implausibility , and sags in pace , it rises in its courageousness , and comedic employment . 	1
40	your stomach for heaven depends largely on your appetite for canned corn . 	0
41	with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment . 	0
42	stanley kwan has directed not only one of the best gay love stories ever made , but one of the best love stories of any stripe . 	1
43	the film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in . 	1
44	this 90-minute dud could pass for mike tyson's e ! true hollywood story . 	0
45	it will delight newcomers to the story and those who know it from bygone days . 	1
46	a real clunker . a well-made , thoughtful , well-acted clunker , but a clunker nonetheless . 	0
47	the best way to hope for any chance of enjoying this film is by lowering your expectations . then lower them a bit more . 	0
48	yes , i suppose it's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i didn't . 	0
49	it's got some pretentious eye-rolling moments and it didn't entirely grab me , but there's stuff here to like . 	1
50	it has a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story just complicated enough to let you bask in your own cleverness as you figure it out . 	1
51	a dreadful day in irish history is given passionate , if somewhat flawed , treatment . 	1
52	the movie is a mess from start to finish . 	0
53	there is not an ounce of honesty in the entire production . 	0
54	the film reminds me of a vastly improved germanic version of my big fat greek wedding -- with better characters , some genuine quirkiness and at least a measure of style . the difference is that i truly enjoyed most of mostly martha while i ne	1
55	one of the best looking and stylish animated movies in quite a while . . . 	1
56	a movie far more cynical and lazy than anything a fictitious charlie kaufman might object to . 	0
57	not a bad choice here , assuming that . . . the air-conditioning in the theater is working properly . 	1
58	like kubrick , soderbergh isn't afraid to try any genre and to do it his own way . 	1
59	confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . 	0
60	haneke's script ( from elfriede jelinek's novel ) is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending . 	0
61	 . . . blade ii is more enjoyable than the original . 	1
62	it's just rather leaden and dull . 	0
63	mr . deeds is , as comedy goes , very silly -- and in the best way . 	1
64	suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood . 	0
65	[it] has the feel of a summer popcorn movie . nothing too deep or substantial . explosions , jokes , and sexual innuendoes abound . 	1
66	an already thin story boils down to surviving invaders seeking an existent anti-virus . if only there were one for this kind of movie . 	0
67	bond-inspired ? certainly . likely to have decades of life as a classic movie franchise ? let's hope not . 	0
68	the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough . 	1
69	the dramatic crisis doesn't always succeed in its quest to be taken seriously , but huppert's volatile performance makes for a riveting movie experience . 	1
70	good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . 	1
71	what we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance . 	0
72	lillard and cardellini earn their scooby snacks , but not anyone else . 	0
73	this real-life hollywood fairy-tale is more engaging than the usual fantasies hollywood produces . 	1
74	must-see viewing for anyone involved in the high-tech industry . others may find it migraine-inducing , despite moore's attempts at whimsy and spoon feeding . 	0
75	as literary desecrations go , this makes for perfectly acceptable , occasionally very enjoyable children's entertainment . you'll forget about it by monday , though , and if they're old enough to have developed some taste , so will your kids . 	1
76	the film's trailer also looked like crap , so crap is what i was expecting . 	0
77	discursive but oddly riveting documentary . 	1
78	[sports] admirable energy , full-bodied characterizations and narrative urgency . 	1
79	it's not just a feel-good movie , it's a feel movie . you feel good , you feel sad , you feel pissed off , but in the end , you feel alive - which is what they did . 	1
80	a tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle . 	1
81	despite the film's bizarre developments , hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character's gripping humanity . 	1
82	feels too formulaic and too familiar to produce the transgressive thrills of early underground work . 	0
83	candid camera on methamphetamines . 	1
84	what's not to like about a movie with a 'children's' song that includes the line 'my stepdad's not mean , he's just adjusting' ? 	1
85	there's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do joan and philip's repetitive arguments , schemes and treachery . 	0
86	jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth can't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting . 	1
87	portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . 	0
88	if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need . 	1
89	from the big giant titles of the opening credits to elmer bernstein's perfectly melodic score , haynes gets just about everything right . 	1
90	thumbs up to paxton for not falling into the hollywood trap and making a vanity project with nothing new to offer . 	1
91	it's a shame the marvelous first 101 minutes have to be combined with the misconceived final 5 . 	1
92	the film proves unrelentingly grim -- and equally engrossing . 	1
93	interesting and thoroughly unfaithful version of carmen	0
94	the kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati . 	1
95	this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against . 	0
96	it's a gag that's worn a bit thin over the years , though don't ask still finds a few chuckles . 	0
97	perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . 	0
98	if nothing else , this movie introduces a promising , unusual kind of psychological horror . 	1
99	intelligent , caustic take on a great writer and dubious human being . 	1
100	 sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip . 	0
101	same song , second verse , coulda been better , but it coulda been worse . 	1
102	the movie straddles the fence between escapism and social commentary , and on both sides it falls short . 	0
103	a realistically terrifying movie that puts another notch in the belt of the long list of renegade-cop tales . 	1
104	it's not a great monster movie . but if you've paid a matinee price and bought a big tub of popcorn , there's guilty fun to be had here . chomp chomp ! 	1
105	an irresistible combination of a rousing good story set on a truly grand scale . 	1
106	far too clever by half , howard's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another . 	0
107	mr . deeds is not really a film as much as it is a loose collection of not-so-funny gags , scattered moments of lazy humor . 	0
108	a spunky , original take on a theme that will resonate with singles of many ages . 	1
109	oscar wilde's masterpiece , the importance of being earnest , may be the best play of the 19th century . it's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker's movie adaptation . 	1
110	a modest and messy metaphysical thriller offering more questions than answers . 	0
111	was that movie nothing more than a tepid exercise in trotting out a formula that worked five years ago but has since lost its fizz ? 	0
112	it is risky , intelligent , romantic and rapturous from start to finish . 	1
113	 . . . unlikable , uninteresting , unfunny , and completely , utterly inept . 	0
114	the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart . 	1
115	bogdanovich taps deep into the hearst mystique , entertainingly reenacting a historic scandal . 	1
116	aspires to the cracked lunacy of the adventures of buckaroo banzai , but thanks to an astonishingly witless script ends up more like the adventures of ford fairlane . 	0
117	special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen . 	1
118	more likely to have you scratching your head than hiding under your seat . 	0
119	"the subtle strength of "" elling "" is that it never loses touch with the reality of the grim situation . "	1
120	japanese director shohei imamura's latest film is an odd but ultimately satisfying blend of the sophomoric and the sublime . 	1
121	pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest . 	0
122	even if you're an elvis person , you won't find anything to get excited about on this dvd . 	0
123	neither the funniest film that eddie murphy nor robert de niro has ever made , showtime is nevertheless efficiently amusing for a good while . before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway . 	1
124	morvern callar confirms lynne ramsay as an important , original talent in international cinema . 	1
125	admirably ambitious but self-indulgent . 	0
126	for a story set at sea , ghost ship is pretty landbound , with its leaden acting , dull exposition and telegraphed 'surprises . '	0
127	less an examination of neo-nazism than a probe into the nature of faith itself . 	1
128	helmer devito . . . attempts to do too many things in this story about ethics , payola , vice , murder , kids' tv and revenge . 	0
129	"viewers of "" the ring "" are more likely to remember the haunting images than the plot holes . "	1
130	anemic , pretentious . 	0
131	one of those decades-spanning historical epics that strives to be intimate and socially encompassing but fails to do justice to either effort in three hours of screen time . 	0
132	family togetherness takes a back seat to inter-family rivalry and workplace ambition&#133 ; whole subplots have no explanation or even plot relevance . 	0
133	manages to show life in all of its banality when the intention is quite the opposite . 	0
134	the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year . 	1
135	rarely has so much money delivered so little entertainment . 	0
136	this off-putting french romantic comedy is sure to test severely the indulgence of fans of amélie . 	0
137	blessed with two fine , nuanced lead performances . 	1
138	devos delivers a perfect performance that captures the innocence and budding demons within a wallflower . 	1
139	with elements cribbed from lang's metropolis , welles' kane , and eisenstein's potemkin , the true wonder of rintarô's metropolis is the number of lasting images all its own . 	1
140	other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf . 	1
141	john mctiernan's botched remake may be subtler than norman jewison's 1975 ultraviolent futuristic corporate-sports saga . it's also stupider . 	0
142	the sum of all fears pretends to be a serious exploration of nuclear terrorism , but it's really nothing more than warmed-over cold war paranoia . 	0
143	the plot meanders from gripping to plodding and back . 	0
144	evelyn's strong cast and surehanded direction make for a winning , heartwarming yarn . 	1
145	ecks this one off your must-see list . 	0
146	directing with a sure and measured hand , [haneke] steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology . 	1
